Company,Region ID,Tag ID,Grade ID,Variety ID,Commodity ID,First Receive Date,Warehouse Location,Room/Row ID,Commodity ID.1,Size ID,Grade ID.1,Style ID,Method ID,On Hand Quantity
"KINGS RIVER PACKING, LP",USA,8618345,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618346,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618354,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618358,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618359,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618361,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618362,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618363,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618485,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618508,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618685,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618715,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A48,MANDARIN,36,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618717,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618718,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A18,MANDARIN,24,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618739,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A26,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618740,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A26,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618741,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A26,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618742,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A26,MANDARIN,18,FANCY,BIN,BIN,1.0
"KINGS RIVER PACKING, LP",USA,8618783,FANCY,CLEMENTINE,MANDARIN,2024-12-19,COBBLESTONE,P-A12,MANDARIN,15,FANCY,BIN,BIN,1.0
