DateTime,TargetWeight(oz)-B1,Weight/Product(oz)-B1,Products/min-B1,TargetWeight(oz)-B2,Weight/Product(oz)-B2,Products/min-B2,TargetWeight(oz)-B3,Weight/Product(oz)-B3,Products/min-B3,TargetWeight(oz)-A3,Weight/Product(oz)-A3,Products/min-A3,TargetWeight(oz)-B4,Weight/Product(oz)-B4,Products/min-B4,TargetWeight(oz)-A1,Weight/Product(oz)-A1,Products/min-A1,TargetWeight(oz)-A4,Weight/Product(oz)-A4,Products/min-A4,TargetWeight(oz)-A2,Weight/Product(oz)-A2,Products/min-A2
24:00.0,35.8207,33.5103,26,0,0,0,8.4834,49.3835,1,0,0,0,0,0,0,0,0,0,0,0,0,27.6019,81.4829,5
30:00.0,34.9741,33.5103,36,0,0,0,34.1334,49.3835,22,0,0,0,0,0,0,54.3219,80.7774,12,0,0,0,82.3588,81.4829,27
36:00.0,35.2916,33.5103,27,0,0,0,16.3201,49.3835,2,0,0,0,0,0,0,0,0,0,0,0,0,43.4693,81.4829,7
42:00.0,34.8036,33.5103,34,0,0,0,52.5935,49.3835,28,26.3026,33.1575,14,0,0,0,0,0,0,0,0,0,0,0,0
48:00.0,34.5391,33.5103,25,0,0,0,36.8554,49.3835,37,12.6927,33.1575,3,0,0,0,0,0,0,0,0,0,0,0,0
54:00.0,34.933,33.5103,33,0,0,0,8.5598,49.3835,0,25.7735,33.1575,13,0,0,0,55.7446,80.7774,9,0,0,0,0,0,0
00:00.0,34.7096,33.5103,31,0,0,0,0,0,0,37.2669,33.1575,28,0,0,0,84.2636,80.7774,60,0,0,0,15.2325,49.7363,2
06:00.0,37.7549,33.5103,49,0,0,0,0,0,0,31.2292,33.1575,21,0,0,0,71.1829,80.7774,38,13.8862,81.1301,5,0,0,0
12:00.0,36.4498,33.5103,53,0,0,0,0,0,0,6.2023,33.1575,4,0,0,0,0,0,0,85.6452,81.1301,50,7.384,49.7363,1
18:00.0,35.8325,33.5103,47,0,0,0,0,0,0,24.2038,33.1575,7,0,0,0,70.0835,80.7774,29,42.4346,81.1301,18,0,0,0
24:00.0,35.8854,33.5103,43,0,0,0,0,0,0,5.9201,33.1575,1,0,0,0,27.937,80.7774,1,70.0482,81.1301,19,0,0,0
30:00.0,35.3798,33.5103,46,0,0,0,0,0,0,10.4293,33.1575,3,0,0,0,0,0,0,55.7211,81.1301,18,0,0,0
36:00.0,35.027,33.5103,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.0188,81.1301,23,0,0,0
42:00.0,38.5721,33.5103,56,0,0,0,0,0,0,0,0,0,0,0,0,42.2582,80.7774,20,13.9332,81.1301,2,0,0,0
48:00.0,36.8378,33.5103,55,0,0,0,0,0,0,0,0,0,0,0,0,84.3459,80.7774,42,0,0,0,0,0,0
54:00.0,31.1293,33.5103,41,0,0,0,0,0,0,0,0,0,0,0,0,70.1952,80.7774,26,0,0,0,0,0,0
00:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06:00.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:00.0,29.7183,33.5103,24,0,0,0,0,0,0,0,0,0,0,0,0,41.735,80.7774,2,41.9937,81.1301,7,0,0,0
18:00.0,38.2193,33.5103,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3994,81.1301,31,0,0,0
24:00.0,18.6952,33.5103,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.5817,81.1301,23,0,0,0
30:00.0,19.5006,33.5103,19,0,0,0,0,0,0,0,0,0,0,0,0,83.9873,80.7774,33,13.8862,81.1301,3,0,0,0
36:00.0,38.7778,33.5103,60,0,0,0,0,0,0,0,0,0,0,0,0,84.4929,80.7774,32,0,0,0,0,0,0
42:00.0,38.2958,33.5103,62,0,0,0,0,0,0,0,0,0,0,0,0,86.0332,80.7774,52,0,0,0,0,0,0
48:00.0,37.4668,33.5103,39,0,0,0,18.2425,49.3835,21,0,0,0,0,0,0,29.1951,80.7774,13,42.3758,81.1301,21,0,0,0
54:00.0,37.8901,33.5103,31,0,0,0,51.4823,49.3835,31,0,0,0,0,0,0,0,0,0,85.6217,81.1301,51,0,0,0
00:00.0,5.832,33.5103,0,0,0,0,53.9633,49.3835,44,0,0,0,0,0,0,30.4767,80.7774,13,62.9934,81.1301,14,0,0,0
